,CSF,WM,GM
303.0,0.9989576571623521,0.0008827558273032405,0.0001595870103446731
304.0,0.9979367625310027,0.0017931024954321736,0.0002701349735650951
305.0,0.9983210860389479,0.001301478007678712,0.00037743595337341664
306.0,0.9982522668602677,0.0014163680040173863,0.00033136513571496235
307.0,0.9976572387250477,0.0020584883188534743,0.0002842729560986734
308.0,0.9982793594436175,0.001499724470402355,0.0002209160859802209
309.0,0.997887868157979,0.001788755699405023,0.00032337614261591463
310.0,0.9978832232908065,0.0016548913068377279,0.0004618854023556676
311.0,0.9975533252775782,0.0021602780167841156,0.00028639670563761725
312.0,0.9975895465093626,0.0019742334388295596,0.0004362200518077377
313.0,0.9975157776369881,0.002193430499950646,0.00029079186306126003
314.0,0.9977143880314474,0.002008273565471695,0.00027733840308087686
315.0,0.9989412314744763,0.0007342802734147981,0.0003244882521089301
316.0,0.9978998255701728,0.0018016152469648079,0.00029855918286233394
317.0,0.9977569331703028,0.0019373087599651602,0.00030575806973197605
318.0,0.997894333281147,0.0018880132606996867,0.00021765345815332756
319.0,0.9980436732232756,0.0016782168656735265,0.00027810991105087083
320.0,0.9970204104728392,0.0028645108391644352,0.0001150786879963023
321.0,0.9970992570969109,0.0026651865979493267,0.00023555630513968098
322.0,0.9968751316343646,0.002508911894211269,0.0006159564714240206
323.0,0.9977324785970174,0.0018571677878946545,0.0004103536150878704
324.0,0.9976775865004286,0.002082355885079081,0.0002400576144922997
325.0,0.9987314685594356,0.0012111844506512992,5.7346989913035586e-05
326.0,0.9970551501715851,0.00258968599360601,0.00035516383480892053
327.0,0.9976802872080625,0.001977720239491985,0.0003419925524456321
328.0,0.9971440863615505,0.0025717869002436595,0.00028412673820575574
329.0,0.9970976379845582,0.0026592278861773877,0.00024313412926444273
330.0,0.9975837587310195,0.002133406966112202,0.0002828343028683136
331.0,0.997614627448262,0.0018854494004273453,0.0004999231513105521
332.0,0.998275864623258,0.0015526060439835104,0.0001715293327583954
333.0,0.9968320503967042,0.0026566815155583475,0.0005112680877373812
334.0,0.997280862611173,0.002177790402473951,0.0005413469863530388
335.0,0.9982864597515643,0.001403440668065992,0.00031009958036967814
336.0,0.9978538483848783,0.001462047520949706,0.0006841040941719502
337.0,0.9978098499323851,0.0015045100343821854,0.0006856400332327889
338.0,0.9969029784338791,0.0025365532089132586,0.0005604683572076562
339.0,0.9970487808914703,0.0021715235895427587,0.0007796955189869519
340.0,0.9969862127321663,0.0020334748813074814,0.0009803123865262569
341.0,0.9963619068467942,0.0027819249320466476,0.0008561682211592434
342.0,0.9971612769150583,0.002155405960252468,0.0006833171246892149
343.0,0.9967735526061469,0.0025598330285930546,0.0006666143652600819
344.0,0.9971172160541492,0.0020540167444150588,0.0008287672014357793
345.0,0.9964386767007478,0.002719939121626864,0.0008413841776252857
346.0,0.9961992463074331,0.0028750779597411153,0.000925675732825886
347.0,0.9968103983019174,0.0024423799543825562,0.0007472217436999601
348.0,0.9966313145846721,0.002809904901427636,0.0005587805139001398
349.0,0.9969212496761012,0.0024426515618765025,0.0006360987620223059
350.0,0.9974642299370917,0.001524935824950447,0.0010108342379577964
351.0,0.9966072095598724,0.0024607140979699817,0.0009320763421575726
352.0,0.9970219212658551,0.002187246086886783,0.0007908326472580522
353.0,0.9964714755350746,0.0027115285617682937,0.0008169959031569319
354.0,0.9973122721132982,0.0022807023335940104,0.0004070255531077055
355.0,0.996794361343797,0.002131718781165132,0.001073919875037852
356.0,0.9951693215861404,0.003887827955137464,0.0009428504587222268
357.0,0.9964813985417545,0.0027612227837256367,0.0007573786745196875
358.0,0.9954479614167909,0.00335125626002211,0.001200782323186944
359.0,0.9972233226197713,0.0022741817480326533,0.0005024956321959356
360.0,0.9959577705630823,0.0028470059917530288,0.0011952234451645624
361.0,0.9969074168795004,0.0022302161324063846,0.0008623669880932057
362.0,0.9961539537846856,0.002483592090527419,0.0013624541247868683
363.0,0.9961063442229046,0.002379468550374936,0.001514187226720385
364.0,0.9966009990374954,0.002080108828244713,0.0013188921342597944
365.0,0.9962442090783787,0.002258619663975081,0.0014971712576461599
366.0,0.9960750918581212,0.002548449174672766,0.0013764589672059506
367.0,0.9961005753374651,0.002772874568954308,0.0011265500935805097
368.0,0.9965700163037724,0.001960739882422583,0.001469243813804965
369.0,0.9957308404871678,0.002830631567369586,0.0014385279454626411
370.0,0.9948118813063549,0.0031199784932237945,0.0020681402004212677
